ID	ID_MAXIMO	latitude	longitude	Night_shift	Type_halte	Cleaning_time_20	Cleaning_time_code	Cleaning_time_abri
270	HLT1872	52.0583088276514	4.22662194525206	0	Bushalte	20	15	20
271	HLT1835	52.0570660144044	4.22786206254449	0	Bushalte	20	15	20
272	HLT1834	52.0575349570347	4.22801370012659	0	Bushalte	20	15	20
273	HLS0188	52.050833	4.226034	0	Bushalte	20	20	13
274	HLS0189	52.051001	4.226701	0	Bushalte	20	20	13
275	HLS0190	52.0489	4.221448	0	Bushalte	20	20	13
276	HLS0197	52.046062	4.209976	0	Bushalte	20	20	20
277	HLS0196	52.04615	4.209726	0	Bushalte	20	20	20
278	HLS0191	52.049025	4.222247	0	Bushalte	20	20	20
279	HLS0192	52.052313	4.229364	0	Bushalte	20	20	20
280	HLS0193	52.052452	4.229754	0	Bushalte	20	20	20
281	HLT1821	52.0542678637796	4.23389974883629	0	Bushalte	20	15	20
282	HLT1820	52.0543610610503	4.23365387456737	0	Bushalte	20	15	20
283	HLT1822	52.0550860576614	4.23853864000956	0	Bushalte	20	15	20
284	HLT1823	52.0551826032326	4.2384645101827	0	Bushalte	20	15	20
285	HLT1828	52.059436250326	4.24795344050782	0	Bushalte	20	15	20
286	HLT1808	52.0613182814916	4.24740593582614	0	Bushalte	20	15	20
287	HLT1809	52.0612914415407	4.24703740239513	0	Bushalte	20	15	20
288	HLT1829	52.059305178619	4.24783772247889	0	Bushalte	20	15	13
289	HLT1715	52.0557213157229	4.25163227605954	0	Bushalte	20	15	20
290	HLT1716	52.0563952744465	4.25072483701974	0	Bushalte	20	15	20
291	HLT1825	52.0565327580841	4.24605639344988	0	Bushalte	20	15	20
292	HLS0136	52.051902	4.253607	0	Bushalte	20	20	20
293	HLS0230	52.048473	4.248576	0	Bushalte	20	20	20
294	HLS0166	52.043984	4.242597	0	Bushalte	20	20	20
295	HLS0212	52.039536	4.235364	0	Bushalte	20	20	20
296	HLS0213	52.039977	4.236315	0	Bushalte	20	20	13
297	HLT1677	52.045518	4.240459	0	Bushalte	20	20	20
298	HLS0165	52.043186	4.240985	0	Bushalte	20	20	20
299	HLS0231	52.048914	4.249571	0	Bushalte	20	20	20
300	HLS0137	52.052307	4.254675	0	Bushalte	20	20	20
301	HLT1717	52.0551439362332	4.25868285890681	0	Bushalte	20	15	13
302	HLT1718	52.0545174488491	4.25740910117965	0	Bushalte	20	15	13
303	HLT1721	52.0570853492844	4.26193342693348	0	Bushalte	20	15	20
304	HLT1719	52.0570438914836	4.26153361671092	0	Bushalte	20	15	13
305	HLT3209	52.0594866872479	4.26360454959403	0	Bushalte	20	15	20
306	HLT3210	52.0592943612872	4.26362238597099	0	Bushalte	20	15	20
307	HLS0181	52.054864	4.296006	0	Bushalte	20	20	13
308	HLS0217	52.058839	4.29238	0	Bushalte	20	20	20
309	HLT3708	52.056294589728	4.30306038741281	0	Bushalte	20	15	20
310	HLT3709	52.0567790743245	4.30193001200223	0	Bushalte	20	15	20
