ID_MAXIMO,Route,Order,Name,Dova_code,Night_shift,longitude,latitude,ID,abri,n_in_run,Type_halte
HLT1912,14.0,5.0,Thorbeckelaan 268,NL:Q:32001912,0,4.25421544289492,52.0641477905831,187,1.0,1,Bushalte
HLT1913,12.0,4.0,Thorbeckelaan/Appelstraat,NL:Q:32001913,0,4.25237651264599,52.0641480614418,188,1.0,1,Bushalte
HLT1923,14.0,6.0,Thorbeckelaan 134,NL:Q:32001923,0,4.25696917650807,52.0635688982326,189,1.0,1,Bushalte
HLT3408,14.0,15.0,Meppelweg 53,NL:Q:32003408,0,4.27463851350802,52.0554122317093,190,1.0,1,Bushalte
HLT1107,9.0,17.0,Stadhouderslaan 37,NL:Q:32001107,0,4.2801918694878,52.0884045222757,191,0.0,1,Bushalte
HLT1106,9.0,18.0,Cornelis de Wittlaan 41,NL:Q:32001106,0,4.27946560860845,52.0883699908259,192,1.0,1,Bushalte
HLT1125,3.0,18.0,Aert vd Goesstraat 64,NL:Q:32001125,0,4.27800489877421,52.0875793139329,193,1.0,1,Bushalte
HLT0930,3.0,17.0,Cornelis de Wittlaan 43,NL:Q:32000930,0,4.277596,52.087573,194,1.0,1,Bushalte
HLT0932,3.0,16.0,Cornelis de Wittlaan 684,NL:Q:32000932,0,4.274044,52.086047,195,1.0,1,Bushalte
HLT0920,16.0,19.0,Eisenhowerlaan 128,NL:Q:32000920,0,4.280671,52.093615,196,0.0,1,Bushalte
HLT0919,16.0,18.0,Eisenhowerlaan 73,NL:Q:32000919,0,4.280661,52.093444,197,0.0,1,Bushalte
HLT0944,9.0,16.0,Eisenhowerlaan 50,NL:Q:32000944,0,4.278274,52.090842,198,0.0,1,Bushalte
HLT0908,9.0,14.0,Statenlaan 31,NL:Q:32000908,0,4.276434,52.092659,199,0.0,1,Bushalte
HLT0912,9.0,15.0,Statenlaan 36,NL:Q:32000912,0,4.276237,52.09236,200,0.0,1,Bushalte
HLT0910,9.0,13.0,Prins Mauritsplein 24,NL:Q:32000910,0,4.2779008915119,52.0953394429413,201,1.0,1,Bushalte
HLT0911,9.0,12.0,Prins Mauritsplein 24,NL:Q:32000911,0,4.27817729560765,52.0954738560172,202,1.0,1,Bushalte
HLT0905,9.0,11.0,Frankenslag 2,NL:Q:32000905,0,4.28133152309854,52.0989761989589,203,1.0,1,Bushalte
HLT0904,9.0,10.0,Frankenslag 2,NL:Q:32000904,0,4.28151634258156,52.0991939850492,204,1.0,1,Bushalte
HLT0732,16.0,16.0,Westduinweg 138A,NL:Q:32000732,0,4.270283,52.096457,205,1.0,1,Bushalte
