ID_MAXIMO,Route,Order,Name,Dova_code,Night_shift,longitude,latitude,ID,Cleaning_time_20,Cleaning_time_code,Cleaning_time_abri
HLT0734,REI-D108,10,Kanaalweg 31,NL:Q:32000734,0,4.28310135961231,52.1014730771013,178,30,20,35
HLT0724,REI-D108,11,Duinweg 1,NL:Q:32000724,0,4.28629427503056,52.1040868685722,179,20,15,13
HLT3201,REI-D108,12,Volendamlaan 1272,NL:Q:32003201,0,4.25988473489936,52.0622454150696,180,20,15,20
HLT3202,REI-D108,13,Volendamlaan 1158,NL:Q:32003202,0,4.26084791879404,52.0622208895183,181,20,15,20
HLT1924,REI-D108,14,Thorbeckelaan 103,NL:Q:32001924,0,4.25792464337325,52.063676852156,182,20,15,20
HLT1914,REI-D108,15,Thorbeckelaan/Appelstraat,NL:Q:32001914,0,4.25332837593685,52.0649013007184,183,20,15,20
HLT1911,REI-D108,16,Thorbeckelaan 433,NL:Q:32001911,0,4.25169263633927,52.0650468266869,184,20,15,20
HLT1907,REI-D108,17,Thorbeckelaan 701,NL:Q:32001907,0,4.24784825566121,52.0668517449488,185,20,18,20
HLT1908,REI-D108,18,Thorbeckelaan 350,NL:Q:32001908,0,4.24806906684069,52.0662887519574,186,20,18,20
HLT1912,REI-D108,19,Thorbeckelaan 268,NL:Q:32001912,0,4.25421544289492,52.0641477905831,187,20,15,13
HLT1913,REI-D108,20,Thorbeckelaan/Appelstraat,NL:Q:32001913,0,4.25237651264599,52.0641480614418,188,20,15,20
HLT1923,REI-D108,21,Thorbeckelaan 134,NL:Q:32001923,0,4.25696917650807,52.0635688982326,189,20,15,20
HLT3408,REI-D108,22,Meppelweg 53,NL:Q:32003408,0,4.27463851350802,52.0554122317093,190,20,15,20
HLT1107,REI-D109,1,Stadhouderslaan 37,NL:Q:32001107,0,4.2801918694878,52.0884045222757,191,20,15,20
HLT1106,REI-D109,2,Cornelis de Wittlaan 41,NL:Q:32001106,0,4.27946560860845,52.0883699908259,192,20,15,13
HLT1125,REI-D109,3,Aert vd Goesstraat 64,NL:Q:32001125,0,4.27800489877421,52.0875793139329,193,20,15,13
HLT0930,REI-D109,4,Cornelis de Wittlaan 43,NL:Q:32000930,0,4.277596,52.087573,194,20,20,13
HLT0932,REI-D109,5,Cornelis de Wittlaan 684,NL:Q:32000932,0,4.274044,52.086047,195,20,20,13
HLT0920,REI-D109,6,Eisenhowerlaan 128,NL:Q:32000920,0,4.280671,52.093615,196,20,20,13
HLT0919,REI-D109,7,Eisenhowerlaan 73,NL:Q:32000919,0,4.280661,52.093444,197,20,20,20
HLT0944,REI-D109,8,Eisenhowerlaan 50,NL:Q:32000944,0,4.278274,52.090842,198,20,20,20
HLT0908,REI-D109,9,Statenlaan 31,NL:Q:32000908,0,4.276434,52.092659,199,20,20,20
HLT0912,REI-D109,10,Statenlaan 36,NL:Q:32000912,0,4.276237,52.09236,200,20,20,20
HLT0910,REI-D109,11,Prins Mauritsplein 24,NL:Q:32000910,0,4.2779008915119,52.0953394429413,201,20,15,20
HLT0911,REI-D109,12,Prins Mauritsplein 24,NL:Q:32000911,0,4.27817729560765,52.0954738560172,202,20,15,13
HLT0905,REI-D109,13,Frankenslag 2,NL:Q:32000905,0,4.28133152309854,52.0989761989589,203,20,15,13
HLT0904,REI-D109,14,Frankenslag 2,NL:Q:32000904,0,4.28151634258156,52.0991939850492,204,20,15,13
HLT0732,REI-D109,15,Westduinweg 138A,NL:Q:32000732,0,4.270283,52.096457,205,20,20,20
HLT0730,REI-D109,16,Duinstraat 40,NL:Q:32000730,0,4.26678963953563,52.0928095335104,206,20,15,20
HLT0807,REI-D109,17,Tesselsestraat 43,NL:Q:32000807,0,4.26229,52.090439,207,20,20,20
HLT0804,REI-D109,18,Pluvierstraat 275,NL:Q:32000804,0,4.257331,52.089753,208,20,20,20
HLT0803,REI-D109,19,Tesselseplein 68,NL:Q:32000803,0,4.258315,52.090104,209,20,20,20
HLT0808,REI-D109,20,Tesselsestraat 27,NL:Q:32000808,0,4.26232924694836,52.0903021773036,210,20,15,20
HLT0744,REI-D109,21,Kranenburgweg 136,NL:Q:32000744,0,4.263884,52.093232,211,20,20,20
HLT0731,REI-D110,1,Westduinweg 73H,NL:Q:32000731,0,4.26831401662161,52.0938865902528,212,20,15,20
HLT0732,REI-D110,2,Westduinweg 193,NL:Q:32000732,0,4.270283,52.096457,213,20,20,20
HLT0718,REI-D110,3,Westduinweg 1439,NL:Q:32000718,0,4.27373983210292,52.1009544842491,214,20,15,20
HLT0719,REI-D110,4,Westduinweg 193,NL:Q:32000719,0,4.27497905453913,52.101621233843,215,20,15,20
HLT1103,REI-D110,5,Aert van der Goesstraat 64,NL:Q:32001103,0,4.27804922351556,52.0872465784974,216,20,15,13
HLT0515,REI-D110,6,Javastraat 2C,NL:Q:32000515,0,4.301436,52.087085,217,20,20,20
HLT0510,REI-D110,7,Nassauplein 25,NL:Q:32000510,0,4.305635,52.090243,218,20,20,20
