ID_MAXIMO,first_order,n_visits,Route,Order,Name,Dova_code,Night_shift,longitude,latitude,ID,abri,Service_time
HLT0205,6,1,REI-D108,1,Kurhausweg 1,NL:Q:32000205,0,4.28368444242148,52.1120294402802,169,1,20
HLT0217,4,1,REI-D108,2,Harstenbroekweg 46,NL:Q:32000217,0,4.28726571567318,52.1121945199754,170,1,20
HLT0218,3,1,REI-D108,3,Harstenbroekweg 85,NL:Q:32000218,0,4.28741505902821,52.1121333071707,171,1,20
HLT0219,2,1,REI-D108,4,Badhuisweg 47,NL:Q:32000219,0,4.287317,52.109992,172,1,20
HLT0220,1,1,REI-D108,5,Badhuisweg 41,NL:Q:32000220,0,4.288068,52.109747,173,0,10
HLT0229,5,1,REI-D108,6,Kurhausweg 2,NL:Q:32000229,0,4.284011,52.112047,174,1,20
HLT0724,12,1,REI-D108,7,Duinweg 1,NL:Q:32000724,0,4.28629427503056,52.1040868685722,175,1,20
HLT0725,9,1,REI-D108,8,Duinweg 1,NL:Q:32000725,0,4.28639333811982,52.104617517952,176,1,20
HLT0726,7,1,REI-D108,9,Nieuwe duinweg 21,NL:Q:32000726,0,4.28868138576308,52.1070809777064,177,1,20
HLT0727,8,1,REI-D108,10,Nieuwe duinweg 21,NL:Q:32000727,0,4.28913714381468,52.1072879836596,178,0,10
HLT0734,10,2,REI-D108,11,Kanaalweg 31,NL:Q:32000734,0,4.28310135961231,52.1014730771013,179,0,15
HLT1907,18,1,REI-D108,12,Thorbeckelaan 701,NL:Q:32001907,0,4.24784825566121,52.0668517449488,180,1,20
HLT1908,19,1,REI-D108,13,Thorbeckelaan 350,NL:Q:32001908,0,4.24806906684069,52.0662887519574,181,1,20
HLT1911,17,1,REI-D108,14,Thorbeckelaan 433,NL:Q:32001911,0,4.25169263633927,52.0650468266869,182,1,20
HLT1912,20,1,REI-D108,15,Thorbeckelaan 268,NL:Q:32001912,0,4.25421544289492,52.0641477905831,183,1,20
HLT1913,21,1,REI-D108,16,Thorbeckelaan/Appelstraat,NL:Q:32001913,0,4.25237651264599,52.0641480614418,184,1,20
HLT1914,16,1,REI-D108,17,Thorbeckelaan/Appelstraat,NL:Q:32001914,0,4.25332837593685,52.0649013007184,185,0,10
HLT1923,22,1,REI-D108,18,Thorbeckelaan 134,NL:Q:32001923,0,4.25696917650807,52.0635688982326,186,1,20
HLT1924,15,1,REI-D108,19,Thorbeckelaan 103,NL:Q:32001924,0,4.25792464337325,52.063676852156,187,1,20
HLT3201,13,1,REI-D108,20,Volendamlaan 1272,NL:Q:32003201,0,4.25988473489936,52.0622454150696,188,1,20
HLT3202,14,1,REI-D108,21,Volendamlaan 1158,NL:Q:32003202,0,4.26084791879404,52.0622208895183,189,1,20
HLT3408,26,1,REI-D108,22,Meppelweg 53,NL:Q:32003408,0,4.27463851350802,52.0554122317093,190,1,20
HLT0730,19,1,REI-D109,1,Duinstraat 40,NL:Q:32000730,0,4.26678963953563,52.0928095335104,191,0,10
HLT0732,18,1,REI-D109,2,Westduinweg 138A,NL:Q:32000732,0,4.270283,52.096457,192,1,20
HLT0744,24,1,REI-D109,3,Kranenburgweg 136,NL:Q:32000744,0,4.263884,52.093232,193,1,20
HLT0803,22,1,REI-D109,4,Tesselseplein 68,NL:Q:32000803,0,4.258315,52.090104,194,1,20
HLT0804,21,1,REI-D109,5,Pluvierstraat 275,NL:Q:32000804,0,4.257331,52.089753,195,0,10
