,PO:REI3N101,Unnamed: 1,Route: REI-N101,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
162,4,,HLT3840,BEHEER,"Halte, NL:Q:32003840 Leeghwaterplein",Leeghwaterplein 27,REI-0023,,,
163,5,,HLT3809,BEHEER,"Halte, NL:Q:32003809 Oudemansstraat (ontwerp zie bijlage)",Oudemansstraat 36,REI-0023,,,
164,6,,HLT3809,BEHEER,"Halte, NL:Q:32003809 Oudemansstraat (ontwerp zie bijlage)",Oudemansstraat 36,REI-0023,,,
165,7,,HLT3810,BEHEER,"Halte, NL:Q:32003810 Oudemansstraat (ontwerp zie bijlage)",Oudemansstraat 36,REI-0023,,,
166,8,,HLT3810,BEHEER,"Halte, NL:Q:32003810 Oudemansstraat (ontwerp zie bijlage)",Oudemansstraat 36,REI-0023,,,
167,9,,HLT3823,BEHEER,"Halte, NL:Q:32003823 Lorentzplein (ontwerp zie bijlage)",Oudemansstraat 206,REI-0023,,,
168,10,,HLT3823,BEHEER,"Halte, NL:Q:32003823 Lorentzplein (ontwerp zie bijlage)",Oudemansstraat 206,REI-0023,,,
169,11,,HLT3824,BEHEER,"Halte, NL:Q:32003824 Lorentzplein (ontwerp zie bijlage)",Oudemansstraat 206,REI-0023,,,
170,12,,HLT3824,BEHEER,"Halte, NL:Q:32003824 Lorentzplein (ontwerp zie bijlage)",Oudemansstraat 206,REI-0023,,,
171,13,,HLT3821,BEHEER,"Halte, NL:Q:32003821 Jonckbloetplein",Gouverneurslaan 353,REI-0023,,,
172,14,,HLT3822,BEHEER,"Halte, NL:Q:32003822 Jonckbloetplein",Gouverneurslaan 353,REI-0023,,,
173,15,,HLT3817,BEHEER,"Halte, NL:Q:32003817 Van Zeggelenlaan",Gouverneurslaan 611,REI-0023,,,
174,16,,HLT3818,BEHEER,"Halte, NL:Q:32003818 Van Zeggelenlaan",Gouverneurslaan 666,REI-0023,,,
175,17,,HLT3841,BEHEER,"Halte, NL:Q:32003841 Alberdingk Thijmstraat",Hildebrandstraat 44,REI-0023,,,
176,18,,HLT3842,BEHEER,"Halte, NL:Q:32003842 Alberdingk Thijmstraat",Hildebrandstraat 44,REI-0023,,,
177,19,,HLT3815,BEHEER,"Halte, NL:Q:32003815 Broeksloot",Jan van der Heijdenstraat 11,REI-0023,,,
178,20,,HLT3837,BEHEER,"Halte, NL:Q:32003837 Broeksloot",Rijswijkseweg 674,REI-0023,,,
179,,,,,,,,,,
180,PO:REI3N108,,Route: REI-N108,,,,,,,
181,Volgorde,Locatie,Activum,Activum status,Beschrijving activum/locatie,Beschrijving,Taakplan,Inspectieformulier,Naam,
182,1,,HLT3828,BEHEER,"Halte, NL:Q:32003828 Wenckebachstraat",Rijswijkseweg 327,REI-0023,,,
183,2,,HLT3827,BEHEER,"Halte, NL:Q:32003827 Wenckebachstraat",Rijswijkseweg 281,REI-0023,,,
184,3,,HLT3813,BEHEER,"Halte, NL:Q:32003813 Van Musschenbroekstraat",Rijswijkseweg 127,REI-0023,,,
185,4,,HLT3814,BEHEER,"Halte, NL:Q:32003814 Van Musschenbroekstraat",Rijswijkseweg 362,REI-0023,,,
186,5,,HLT2601,BEHEER,"Halte, NL:Q:32002601 Centraal Station",Rijnstraat 8,REI-0023,,,
187,6,,HLT2602,BEHEER,"Halte, NL:Q:32002602 Centraal Station (ontwerp bijlage)",Rijnstraat 8,REI-0023,,,
188,7,,HLT2602,BEHEER,"Halte, NL:Q:32002602 Centraal Station (ontwerp bijlage)",Rijnstraat 8,REI-0023,,,
189,8,,HLT4010,BEHEER,"Halte, NL:Q:32004010 Hoge Veld",Laan van Wateringse Veld 541,REI-0023,,,
190,9,,HLT4009,BEHEER,"Halte, NL:Q:32004009 Hoge Veld",Laan van Wateringse Veld 541,REI-0023,,,
191,10,,HLT4012,BEHEER,"Halte, NL:Q:32004012 Oosteinde",Laan van Wateringse Veld 925,REI-0023,,,
192,11,,HLT4005,BEHEER,"Halte, NL:Q:32004005 Lage Veld",Laan van Wateringse Veld 1075,REI-0023,,,
193,12,,HLT4013,BEHEER,"Halte, NL:Q:32004013 Parijsplein",Middenweg 216,REI-0023,,,
194,13,,HLT6022,BEHEER,"Halte, NL:Q:32006022 Dorpskade",Turfschipper,REI-0023,,,
195,14,,HLT6019,BEHEER,"Halte, NL:Q:32006019 Dorpskade",Turfschipper,REI-0023,,,
196,15,,HLT4014,BEHEER,"Halte, NL:Q:32004014 Parijsplein (ontwerp zie bijlge)",Middenweg 216,REI-0023,,,
197,16,,HLT4006,BEHEER,"Halte, NL:Q:32004006 Lage Veld",Laan van Wateringse Veld 1072,REI-0023,,,
198,17,,HLT4011,BEHEER,"Halte, NL:Q:32004011 Oosteinde",Laan van Wateringse Veld 925,REI-0023,,,
199,18,,HLT3610,BEHEER,"Halte, NL:Q:32003610 Hardenbroekstraat",Erasmusweg 786,REI-0023,,,
200,19,,HLT3609,BEHEER,"Halte, NL:Q:32003609 Hardenbroekstraat",Erasmusweg 786,REI-0023,,,
201,20,,HLT3614,BEHEER,"Halte, NL:Q:32003614 Betje Wolffstraat",Erasmusweg 618,REI-0023,,,
202,21,,HLT3615,BEHEER,"Halte, NL:Q:32003615 Betje Wolffstraat",Erasmusweg 600,REI-0023,,,
203,,,,,,,,,,
204,PO: REI3N109,,Route: REI-N109,,,,,,,
205,Volgorde,Locatie,Activum,Activum status,Beschrijving activum/locatie,Beschrijving,Taakplan,Inspectieformulier,Naam,
206,1,,HLT3619,BEHEER,"Halte, NL:Q:32003619 Erasmusplein",Erasmusweg 230,REI-0023,,,
207,2,,HLT3618,BEHEER,"Halte, NL:Q:32003618 Erasmusplein",Erasmusweg/Middachtenweg,REI-0023,,,
208,3,,HLT3621,BEHEER,"Halte, NL:Q:32003621 Heeswijkplein",Erasmusweg 100,REI-0023,,,
