,OBJECTID,ID_MAXIMO,AREACODE,HALTENAAM,NLQNR,INSTAP_PWD_NOV_ALLE_PERRONS_19,MAX_INSTAP_PWD_DRUKSTE_UUR_19,MAX_INSTAP_PWD_24,MAAND_MAX_PWD_24,MAX_INSTAP_PWD_DRUKSTE_UUR_24,MAX_INSTAP_PER_UUR_24,UUR_MAX_24,MAAND_UUR_MAX_PWD_24,INSTAP_PWD_REF_MAAND,LIJNEN,BASIS,PLUS,TOP_,CATEGORIE,CODE_CATEGORIE,CODE_OVERSTAP,CODE_RECREATIE,CODE_WIJK,CODE_SEIZOEN,CODE_VISUALISATIE,CRITERIUM_OVERSTAP,CRITERIUM_RECREATIE,CRITERIUM_WIJK,CRITERIUM_SEIZOEN,AANTAL_INWONERS,INSTAPPERS,INST_INW,latitude,longitude
268,463,HLT2217,2216,Elandstraat,NL:Q:32002217,997.0,163.0,1106,1709251200000,154,8,8,1727740800000,1039.0,17,,2.0,,2.0,2,0,0,1,0,20010,,,Supermarkt + bibliotheek <200m,,8475.0,185.0,0.0218,52.0804108177031,4.29764073322872
269,464,HLT2304,2301,Javastraat,,593.0,138.0,248,1733011200000,62,10,10,1711929600000,675.0,22-24-28,3.0,,,3.0,3,0,0,0,0,30000,,,,,2491.0,54.904762,0.022,52.087080096768,4.30388943869222
270,465,HLT2308,2307,Mauritskade,NL:Q:32002308,1591.0,287.0,931,1709251200000,178,12,12,1711929600000,1609.0,1,,2.0,,2.0,2,0,0,0,0,20000,,,,,2562.0,99.238095,0.0387,52.0848647684912,4.30615973125419
271,466,HLT2403,2401,Malieveld,NL:Q:32002403,573.0,85.0,404,1714521600000,157,8,8,1709251200000,700.0,20-29,3.0,,,3.0,3,0,0,0,0,30000,,,,,1313.0,61.285714,0.0467,52.0848754088929,4.31683348723635
272,467,HLT2504,2503,Reigersbergenweg,NL:Q:32002504,186.0,38.0,347,1725148800000,90,8,8,1727740800000,284.0,24,3.0,,,3.0,3,0,0,0,0,30000,,,,,3680.0,43.047619,0.0117,52.092189557212,4.35070206639716
273,468,HLT2508,2507,Saffierhorst,NL:Q:32002508,248.0,64.0,32,1733011200000,10,15,15,1733011200000,15.0,24,3.0,,,3.0,3,0,0,0,0,30000,,,,,3957.0,55.428571,0.014,52.09652487987,4.36071909051003
274,469,HLT2514,2513,Reigersbergenweg,NL:Q:32002514,753.0,172.0,678,1709251200000,118,8,8,1730419200000,660.0,6,,2.0,,2.0,2,0,0,0,0,20000,,,,,3914.0,178.142857,0.0455,52.0893300948049,4.35293390542202
275,470,HLT2518,2517,Hofzichtlaan,NL:Q:32002518,871.0,162.0,202,1706745600000,47,16,16,1714521600000,819.0,6,,2.0,,2.0,2,0,0,0,0,20000,,,,,4593.0,167.666667,0.0365,52.0939925896036,4.36289367323312
276,471,HLT2522,2521,Margarethaland,NL:Q:32002522,470.0,48.0,152,1733011200000,46,8,8,1709251200000,548.0,24-36,3.0,,,3.0,3,0,0,0,0,30000,,,,,3946.0,99.285714,0.0252,52.0918975752354,4.36573946932326
277,472,HLT2526,2525,Station Mariahoeve,NL:Q:32002526,174.0,40.0,403,1709251200000,123,17,17,1711929600000,117.0,24,3.0,,,3.0,3,1,0,0,0,31000,"Treinstation <250m, P&R <100m",,,,3016.0,31.190476,0.0103,52.0910287047263,4.36879040556101
