ID_MAXIMO;Dova_code; longitude;latitude;
HLT0809;NL:Q:32000809;4.252.376;52.087.791;
HLT0901;NL:Q:32000901;4.271.870;52.096.589;
HLT0902;NL:Q:32000902;4.271.524;52.096.414;
HLT0908;NL:Q:32000908;4.276.434;52.092.659;
HLT0912;NL:Q:32000912;4.276.237;52.092.360;
HLT0913;NL:Q:32000913;4.271.159;52.091.171;
HLT0914;NL:Q:32000914;4.271.136;52.091.485;
HLT0919;NL:Q:32000919;4.280.661;52.093.444;
HLT0920;NL:Q:32000920;4.280.671;52.093.615;
HLT0921;NL:Q:32000921;4.285.975;52.096.308;
HLT0922;NL:Q:32000922;4.286.170;52.096.103;
HLT0923;NL:Q:32000923;4.272.191;52.088.385;
HLT0924;NL:Q:32000924;4.272.281;52.088.323;
HLT0930;NL:Q:32000930;4.277.596;52.087.573;
HLT0932;NL:Q:32000932;4.274.044;52.086.047;
HLT0936;NL:Q:32000936;4.281.863;52.093.833;
HLT0937;NL:Q:32000937;4.281.185;52.093.512;
HLT0938;NL:Q:32000938;4.285.671;52.095.622;
HLT0939;NL:Q:32000939;4.285.295;52.095.492;
HLT0943;NL:Q:32000943;4.272.585;52.094.842;
HLT0944;NL:Q:32000944;4.278.274;52.090.842;
HLT1104;NL:Q:32001104;4.279.698;52.088.707;
HLT1105;NL:Q:32001105;4.279.604;52.088.976;
HLT1677;NL:Q:32001677;4.240.459;52.045.518;
HLT2015;NL:Q:32002015;4.274.980;52.076.007;
HLT2016;NL:Q:32002016;4.275.520;52.076.012;
HLT2655;NL:Q:32002655;4.342.390;52.081.648;
HLT2656;NL:Q:32002656;4.342.240;52.081.827;
HLT2698;NL:Q:32002698;4.343.995;52.079.775;
HLT2705;NL:Q:32002705;4.324.626;52.071.548;
HLT2706;NL:Q:32002706;4.324.370;52.071.887;
HLT2858;NL:Q:32002858;4.320.234;52.077.117;
HLT3107;NL:Q:32003107;4.279.025;52.069.348;
HLT3108;NL:Q:32003108;4.280.257;52.069.656;
HLT3125;NL:Q:32003125;4.290.986;52.061.586;
HLT3126;NL:Q:32003126;4.290.975;52.062.026;
HLT3203;NL:Q:32003203;4.262.493;52.063.816;
HLT3204;NL:Q:32003204;4.262.694;52.063.926;
HLT3328;NL:Q:32003328;4.257.033;52.034.568;
HLT3371;NL:Q:32003371;4.267.006;52.033.243;
HLT3383;NL:Q:32003383;4.247.341;52.040.893;
HLT3841;NL:Q:32003841;4.311.701;52.055.826;
HLT3842;NL:Q:32003842;4.312.078;52.055.920;
HLT3908;NL:Q:32003908;4.340.601;52.067.071;
HLT3912;NL:Q:32003912;4.336.626;52.069.903;
HLT4015;NL:Q:32004015;4.285.574;52.040.322;
HLT4016;NL:Q:32004016;4.285.610;52.040.044;
HLT7119;NL:Q:32007119;4.352.312;52.067.093;
HLT7120;NL:Q:32007120;4.352.534;52.066.961;
HLT9809;NL:Q:32009809;4.384.869;52.050.629;
HLS0382;NL:Q:42000102;4.329.940;51.999.137;
HLS0009;NL:Q:42000601;4.332.541;51.999.997;
HLS0010;NL:Q:42000602;4.332.602;51.999.880;
HLS0011;NL:Q:42000701;4.350.254;51.980.909;
HLS0379;NL:Q:42000801;4.351.844;51.993.382;x
HLS0376;NL:Q:42000901;4.334.537;52.012.994;x
HLS0013;NL:Q:42001002;4.355.605;52.020.408;
HLS0015;NL:Q:42001102;4.372.303;52.002.351;
HLS0016;NL:Q:42001103;4.372.437;52.001.552;
HLS0017;NL:Q:42001104;4.372.133;52.002.143;
HLS0018;NL:Q:42001201;4.355.161;52.024.521;
HLS0019;NL:Q:42001202;4.355.293;52.024.477;
HLS0020;NL:Q:42001301;4.343.247;51.989.899;
HLS0021;NL:Q:42001302;4.343.857;51.989.976;
HLS0022;NL:Q:42001401;4.365.948;52.015.365;
HLS0023;NL:Q:42001402;4.365.037;52.016.346;
HLS0024;NL:Q:42001501;4.370.819;52.014.464;
HLS0025;NL:Q:42001502;4.370.789;52.014.500;
HLS0026;NL:Q:42001801;4.352.550;52.023.356;
HLS0027;NL:Q:42001802;4.352.697;52.023.322;
HLS0028;NL:Q:42001901;4.371.574;52.008.825;
HLS0029;NL:Q:42001902;4.371.710;52.009.231;
HLS0030;NL:Q:42002001;4.362.040;52.012.356;
HLS0031;NL:Q:42002002;4.361.675;52.012.380;
